Entry #,Core,BA,ROI #,Accuracy,DAN,DMN,FPCN,Limbic,SM,Uncertain,VAN,Visual
1,L MOG,19,146,66.3,6%,19%,19%,0%,19%,12%,0%,25%
2,R PoG,5,21,64.85,12%,25%,12%,6%,12%,6%,6%,19%
3,L SFG,6,137,64.15,6%,12%,0%,0%,44%,0%,6%,31%
4,R ACgG,32,121,62.85,0%,6%,19%,0%,50%,0%,6%,19%
5,L ACgG,32,110,67.4,6%,25%,19%,6%,19%,12%,6%,6%
